City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Coquimbo,CL,62.6,clear sky,-29.95,-71.34,Hotel San Juan
6,Rikitea,PF,76.86,broken clouds,-23.12,-134.97,Pension Maro'i
7,Castro,BR,73.47,clear sky,-24.79,-50.01,CHACARA BAILLY
8,Mahajanga,MG,78.8,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
9,Barreiro,PT,61.0,few clouds,38.66,-9.07,Residencial Principe Guest House
10,Albuquerque,US,64.4,few clouds,35.08,-106.65,DoubleTree by Hilton Hotel Albuquerque
11,Hambantota,LK,78.8,few clouds,6.12,81.12,Bungalow 63
15,Kapaa,US,78.8,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
20,Idlib,SY,66.2,scattered clouds,35.93,36.63,مركز تسيل للتجميل
22,Cap Malheureux,MU,77.0,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
24,Mosetse,BW,75.92,broken clouds,-20.75,26.65,
26,Cape Town,ZA,62.01,scattered clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
27,Ancud,CL,60.8,overcast clouds,-41.87,-73.82,HOTEL ANCUD DON LUCAS
30,Hilo,US,75.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
32,Lumberton,US,73.99,clear sky,34.62,-79.01,"Country Inn & Suites by Radisson, Lumberton, NC"
36,Karad,IN,77.86,clear sky,17.28,74.2,Hotel Sugam Lodging
39,Puerto Ayora,EC,78.8,drizzle rain,-0.74,-90.35,Finch Bay Galapagos Hotel
40,Ribeira Grande,PT,62.6,few clouds,38.52,-28.7,Quinta da Meia Eira
43,Hermanus,ZA,60.01,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
44,Simao,CN,64.27,broken clouds,22.79,100.97,Changyu Hotel
45,Socorro,US,75.2,broken clouds,31.65,-106.3,guarderia imss papalote
52,Fiumicino,IT,61.0,few clouds,41.77,12.23,Al Porticciolo Hotel
53,Avarua,CK,78.8,overcast clouds,-21.21,-159.78,Paradise Inn
56,Quatre Cocos,MU,77.0,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
58,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
59,Grand Gaube,MU,77.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
65,Korla,CN,61.43,scattered clouds,41.76,86.15,Gulisitan Hotel
66,Port Elizabeth,ZA,62.6,scattered clouds,-33.92,25.57,39 On Nile Guest House
67,Asau,RO,60.8,scattered clouds,46.43,26.4,Casa Mika Ciobanus
72,Luderitz,,62.6,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
73,Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
74,Areosa,PT,61.0,scattered clouds,41.72,-8.86,Hotel Flôr de Sal
76,Alyangula,AU,71.6,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
77,Bam,IR,69.17,broken clouds,29.11,58.36,Bam Tourist Hotel
84,Guerrero Negro,MX,70.47,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
85,Sao Filipe,CV,70.27,few clouds,14.9,-24.5,Tortuga B&B
97,Tabuk,PH,73.65,overcast clouds,17.42,121.44,
99,Mar Del Plata,AR,72.0,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
104,Dumingag,PH,75.38,clear sky,8.17,123.35,Paglinawan Organic Eco Farm
106,Shakawe,BW,75.0,broken clouds,-18.37,21.85,Ditlhapi Guest House
109,Alofi,NU,77.0,clear sky,-19.06,-169.92,Taloa Heights
110,Arraial Do Cabo,BR,75.2,broken clouds,-22.97,-42.03,Pousada Porto Praia
112,East London,ZA,68.9,few clouds,-33.02,27.91,Tu Casa
114,Linhai,CN,64.0,broken clouds,28.85,121.12,Linhai S&N International Hotel
118,Iquitos,PE,78.8,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
119,Chuy,UY,64.63,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
121,Gobabis,,71.6,clear sky,-22.45,18.97,Goba Lodge
126,Talcahuano,CL,69.8,few clouds,-36.72,-73.12,Hotel Terramar
128,Victoria,HK,73.0,overcast clouds,22.29,114.16,Mini Hotel Central
132,College Place,US,66.99,clear sky,46.05,-118.39,Holiday Inn Express Walla Walla
134,Lompoc,US,61.0,overcast clouds,34.64,-120.46,Holiday Inn Express Lompoc
135,Jalu,LY,69.51,clear sky,29.03,21.55,Jalu Hotel
143,Punta Alta,AR,79.12,clear sky,-38.88,-62.07,Center Hotel Punta Alta
146,Carnarvon,AU,75.2,overcast clouds,-24.87,113.63,Hospitality Carnarvon
161,Minas,UY,66.2,few clouds,-34.38,-55.24,Hotel Minas
165,Komatipoort,ZA,66.99,clear sky,-25.43,31.95,Kruger View Backpackers
168,Correntina,BR,74.62,clear sky,-13.34,-44.64,Hotel Pousada dos Sonhos
170,Port Alfred,ZA,64.99,scattered clouds,-33.59,26.89,The Halyards Hotel
176,Vila Do Maio,CV,75.2,few clouds,15.13,-23.22,Residence 'I Delfini'
182,Sunrise Manor,US,72.0,clear sky,36.21,-115.07,Comfort Inn & Suites Las Vegas - Nellis
185,Vao,NC,74.61,few clouds,-22.67,167.48,Hotel Kou-Bugny
186,Nouadhibou,MR,68.0,overcast clouds,20.93,-17.03,El Medina
187,Puerto Del Rosario,ES,69.8,scattered clouds,28.5,-13.86,Hotel JM Puerto del Rosario
190,Srivardhan,IN,79.21,clear sky,18.03,73.02,Savli Resort/Hotel - Shrivardhan
197,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
212,Marawi,PH,65.53,clear sky,8.0,124.29,Derogongan Residence
213,Las Vegas,US,72.0,clear sky,36.17,-115.14,Plaza Hotel & Casino
220,Laguna,US,68.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
221,Saldanha,ZA,62.6,few clouds,-33.01,17.94,Blue Bay Lodge
225,Santa Rosalia,MX,78.58,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
236,Harrison,US,78.8,overcast clouds,30.41,-89.04,Residence Inn by Marriott Gulfport-Biloxi Airport
237,Erzin,TR,69.01,clear sky,36.96,36.2,Artemis Otel
241,Necochea,AR,79.0,scattered clouds,-38.55,-58.74,dyd -mar Hotel
242,Banda Aceh,ID,79.63,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
244,Ngaoundere,CM,73.42,clear sky,7.32,13.58,Hotel Mentong Palace
245,Erdemli,TR,67.93,clear sky,36.6,34.31,Denizkumu Hotel
246,Wewak,PG,78.04,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
248,Opuwo,,74.5,broken clouds,-18.06,13.84,ABBA Guesthouse
251,Raga,SS,78.93,scattered clouds,8.46,25.68,
252,Galveston,US,79.0,overcast clouds,29.37,-94.97,Comfort Inn & Suites Texas City
256,Beloha,MG,74.88,clear sky,-25.17,45.05,
260,Calbuco,CL,60.8,light intensity shower rain,-41.77,-73.13,Hotel Colonial
261,Kahului,US,78.8,few clouds,20.89,-156.47,Maui Seaside Hotel
267,Rio Grande,BR,73.4,scattered clouds,-32.03,-52.1,Swan Express Rio Grande
276,Saint George,US,66.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
281,San Quintin,MX,63.68,few clouds,30.48,-115.95,Old Mill Hotel
283,Constitucion,CL,66.6,overcast clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
285,Mackay,AU,73.0,few clouds,-21.15,149.2,International Lodge Motel
303,Safita,SY,61.0,clear sky,34.82,36.12,Safita Cham Hotel
305,Toamasina,MG,75.2,shower rain,-18.17,49.38,Hotel H1
306,Kiunga,PG,72.66,broken clouds,-6.12,141.29,Airport Lodge Kiunga
307,Paciran,ID,79.18,broken clouds,-6.88,112.38,Tanjung Kodok Beach Resort
315,Luganville,VU,73.4,broken clouds,-15.53,167.17,The Espiritu Hotel
316,Rundu,,78.8,broken clouds,-17.93,19.77,Millennia Estate
322,Kisiwani,TZ,71.56,overcast clouds,-4.13,37.95,Hashimu Kisiwani
327,Dakar,SN,73.4,few clouds,14.69,-17.44,Novotel Dakar
332,Mayumba,GA,78.91,overcast clouds,-3.43,10.66,LIKWALE LODGE
333,Rocha,UY,69.91,scattered clouds,-34.48,-54.33,Beleza Pura B&B
335,Luangwa,ZM,78.1,scattered clouds,-15.62,30.42,Gerasimos Safari Lodge
337,Casino,AU,69.01,overcast clouds,-28.87,153.05,Squatters Homestead Motel
339,Avera,US,75.2,clear sky,33.19,-82.53,
345,Lagoa,PT,60.17,clear sky,39.05,-27.98,Casa Das Faias
351,Geraldton,AU,69.8,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
354,Vangaindrano,MG,70.7,scattered clouds,-23.35,47.6,Hotel Fanilo
356,Diego De Almagro,CL,79.59,clear sky,-26.37,-70.05,hotel luna del desierto
360,Kendari,ID,75.67,clear sky,-3.94,122.5,Hotel Wixel
371,Yambio,SS,73.8,overcast clouds,4.57,28.4,Kabash Inn
372,Abu Dhabi,AE,77.0,clear sky,24.47,54.37,Beach Rotana
379,Dalton,US,73.4,clear sky,34.77,-84.97,Hampton Inn Dalton
383,Najran,SA,78.8,scattered clouds,17.49,44.13,محمد هادي ال فطيح
385,Richards Bay,ZA,69.62,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
386,Khandela,IN,75.16,clear sky,27.6,75.5,Castle Khandela
389,Kasane,BW,73.4,scattered clouds,-17.82,25.15,Cresta Mowana
396,Naze,JP,69.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
401,Sao Joao Da Barra,BR,78.8,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
409,Ngunguru,NZ,61.0,broken clouds,-35.62,174.5,Pacific Rendezvous Motel Resort
411,Santa Vitoria Do Palmar,BR,64.98,few clouds,-33.52,-53.37,Hostel Comodoro
413,Tahta,EG,75.2,broken clouds,26.77,31.5,Møhãmęd Tãręk 🏠
414,Kalaswala,PK,64.4,moderate rain,32.2,74.65,Sarkari Havaily
416,Gondar,ET,68.25,scattered clouds,12.6,37.47,L Shape Hotel
418,Meulaboh,ID,78.75,overcast clouds,4.14,96.13,Kost Pria
423,Gushikawa,JP,69.8,clear sky,26.35,127.87,Kirari Guest House
428,Sawakin,SD,76.24,clear sky,19.11,37.33,فندق الدويم
429,Lashio,MM,65.1,overcast clouds,22.93,97.75,Hotel CF Lashio - Burmese Only
434,Garoua Boulai,CM,70.7,scattered clouds,5.88,14.55,Hotel La Kadey 1
440,Akyab,MM,76.12,scattered clouds,20.15,92.9,Hotel Memory
444,Chimbote,PE,76.68,clear sky,-9.09,-78.58,Hotel Briliá
451,Portland,US,71.01,clear sky,45.52,-122.68,Portland Marriott City Center
454,Kutum,SD,68.4,few clouds,14.2,24.67,Dibbo areaمنطقة دبو
458,Samaipata,BO,62.89,broken clouds,-18.15,-63.87,Casa - Hostal
463,Namibe,AO,73.71,scattered clouds,-15.2,12.15,Chik-Chik Namibe
464,Coos Bay,US,73.99,clear sky,43.37,-124.22,Best Western Holiday Hotel
466,Khorixas,,70.95,clear sky,-20.37,14.97,Khorixas Lodge
467,Bahia Blanca,AR,76.55,clear sky,-38.72,-62.27,Hotel Argos
468,Vanimo,PG,79.34,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
469,Kandrian,PG,79.02,broken clouds,-6.22,149.55,
470,Moranbah,AU,69.37,clear sky,-22.0,148.05,Direct Hotels - Monterey Moranbah
472,Ponta Delgada,PT,62.6,few clouds,37.73,-25.67,Vila Nova Hotel
480,Havelock,US,71.6,clear sky,34.88,-76.9,Holiday Inn Express and Suites Havelock
483,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
488,Mareeba,AU,73.4,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
492,Byron Bay,AU,69.8,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
496,Gorontalo,ID,75.76,scattered clouds,0.54,123.06,Maqna Hotel by Prasanthi
497,Agadir,MA,68.0,clear sky,30.42,-9.6,Iberostar Founty Beach
498,Lata,PT,61.0,clear sky,40.16,-8.33,Casa Maquia
503,Umm Lajj,SA,70.7,clear sky,25.02,37.27,Tanal Hotel Apartment
507,Yulara,AU,69.8,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
508,Doha,QA,77.0,clear sky,25.29,51.53,Ezdan Hotel
509,Ambulu,ID,78.35,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
510,Manacapuru,BR,78.8,shower rain,-3.3,-60.62,Novo Hotel
511,Reconquista,AR,71.38,clear sky,-29.15,-59.65,Grand Hotel
512,Pafos,CY,64.4,clear sky,34.77,32.42,Elysium Hotel
521,Badvel,IN,77.07,clear sky,14.75,79.05,R&B Bungalow
525,Poum,NC,78.44,overcast clouds,-20.23,164.02,Gîte kajeon
527,Waddan,LY,70.63,clear sky,29.16,16.14,محل الشريف محمد العايب
532,Huarmey,PE,79.05,few clouds,-10.07,-78.15,Hotel Miramar
533,Mount Isa,AU,75.2,few clouds,-20.73,139.5,ibis Styles Mt Isa Verona
537,Voh,NC,75.65,overcast clouds,-20.97,164.7,Le gîte du Koniambo
539,Sakakah,SA,73.4,scattered clouds,29.97,40.21,Fakhamat Al Orjoana Apartment
543,Charters Towers,AU,73.0,scattered clouds,-20.1,146.27,Cattleman's Rest Motor Inn
547,Kumluca,TR,62.82,clear sky,36.37,30.29,TurkuazKöy
548,Asyut,EG,71.6,overcast clouds,27.18,31.18,Florence Hotel Assiut
549,Saint Andrews,US,75.99,scattered clouds,34.05,-81.13,Baymont by Wyndham Columbia Northwest
550,Pathein,MM,74.37,clear sky,16.78,94.73,Pathein Hotel
557,Viseu,PT,61.0,clear sky,40.66,-7.91,Montebelo Viseu Congress Hotel
559,Rio Gallegos,AR,60.8,clear sky,-51.62,-69.22,Hotel Santa Cruz
561,Antequera,ES,62.6,few clouds,37.02,-4.56,Hotel MM Antequera (anterior Hotel Las Villas)
